,cancel_rate,iso_region,month,name,num_cancelled,num_flights,origin
0,0.0428849902534,US-PA,1,Lehigh Valley International Airport,22,513,ABE
1,0.0781893004115,US-TX,1,Abilene Regional Airport,19,243,ABI
2,0.0233255581473,US-NM,1,Albuquerque International Sunport Airport,70,3001,ABQ
3,0.0541666666667,US-TX,1,Waco Regional Airport,13,240,ACT
4,0.112903225806,US-AK,1,Kodiak Airport,7,62,ADQ
5,0.0322128851541,US-NY,1,Albany International Airport,46,1428,ALB
6,0.0372881355932,US-TX,1,Rick Husband Amarillo International Airport,22,590,AMA
7,0.0479002624672,US-AK,1,Ted Stevens Anchorage International Airport,73,1524,ANC
8,0.031746031746,US-FL,1,Naples Municipal Airport,4,126,APF
9,0.0457612727354,US-GA,1,Hartsfield Jackson Atlanta International Airport,1024,22377,ATL
10,0.022210329141,US-TX,1,Austin Robert Mueller Municipal,83,3737,AUS
11,0.0403225806452,US-NC,1,Asheville Regional Airport,5,124,AVL
12,0.0241935483871,US-PA,1,Wilkes Barre Scranton International Airport,3,124,AVP
13,0.0708333333333,US-MI,1,Kalamazoo Battle Creek International Airport,17,240,AZO
14,0.0301395939086,US-CT,1,Bradley International Airport,95,3152,BDL
15,0.0322580645161,US-AK,1,Bethel Airport,3,93,BET
16,0.102702702703,US-CA,1,Meadows Field,19,185,BFL
17,0.0,US-NY,1,Greater Binghamton/Edwin A Link field,0,62,BGM
18,0.123076923077,US-ME,1,Bangor International Airport,32,260,BGR
19,0.0112293144208,US-AL,1,Birmingham-Shuttlesworth International Airport,19,1692,BHM
20,0.0194174757282,US-MT,1,Billings Logan International Airport,6,309,BIL
21,0.025,US-ND,1,Bismarck Municipal Airport,3,120,BIS
22,0.165562913907,US-IL,1,Central Illinois Regional Airport at Bloomington-Normal,25,151,BMI
23,0.0165404543643,US-TN,1,Nashville International Airport,83,5018,BNA
24,0.0205607476636,US-ID,1,Boise Air Terminal/Gowen field,22,1070,BOI
25,0.0829354109073,US-MA,1,General Edward Lawrence Logan International Airport,990,11937,BOS
26,0.0596026490066,US-TX,1,Southeast Texas Regional Airport,9,151,BPT
28,0.0,US-TX,1,Brownsville South Padre Island International Airport,0,26,BRO
29,0.118421052632,US-AK,1,Wiley Post Will Rogers Memorial Airport,9,76,BRW
30,0.0491803278689,US-LA,1,"Baton Rouge Metropolitan, Ryan Field",27,549,BTR
31,0.074168797954,US-VT,1,Burlington International Airport,29,391,BTV
32,0.0442804428044,US-NY,1,Buffalo Niagara International Airport,84,1897,BUF
33,0.0289917784509,US-CA,1,Bob Hope Airport,67,2311,BUR
34,0.014535570787,US-MD,1,Baltimore/Washington International Thurgood Marshall Airport,123,8462,BWI
35,0.0196078431373,US-MT,1,Gallatin Field,3,153,BZN
36,0.0604395604396,US-SC,1,Columbia Metropolitan Airport,22,364,CAE
37,0.0322580645161,US-OH,1,Akron Canton Regional Airport,3,93,CAK
38,0.0,US-AK,1,Merle K (Mudhole) Smith Airport,0,62,CDV
39,0.0494505494505,US-TN,1,Lovell Field,9,182,CHA
40,0.0494037478705,US-SC,1,Charleston Air Force Base-International Airport,29,587,CHS
41,0.105436573311,US-IA,1,The Eastern Iowa Airport,64,607,CID
42,0.0321399511798,US-OH,1,Cleveland Hopkins International Airport,158,4916,CLE
43,0.0414746543779,US-TX,1,Easterwood Field,9,217,CLL
44,0.0274534272217,US-NC,1,Charlotte Douglas International Airport,308,11219,CLT
45,0.0450169875425,US-OH,1,Port Columbus International Airport,159,3532,CMH
46,0.132183908046,US-IL,1,University of Illinois Willard Airport,23,174,CMI
47,0.0474777448071,US-CO,1,City of Colorado Springs Municipal Airport,48,1011,COS
48,0.0274841437632,US-TX,1,Corpus Christi International Airport,13,473,CRP
49,0.0537634408602,US-WV,1,Yeager Airport,5,93,CRW
50,0.0390047074647,US-KY,1,Cincinnati Northern Kentucky International Airport,232,5948,CVG
51,0.0430107526882,US-FL,1,Daytona Beach International Airport,8,186,DAB
52,0.0293151969981,US-TX,1,Dallas Love Field,125,4264,DAL
53,0.0485074626866,US-OH,1,James M Cox Dayton International Airport,52,1072,DAY
54,0.189655172414,US-IA,1,Dubuque Regional Airport,22,116,DBQ
55,0.0431877833453,US-DC,1,Ronald Reagan Washington National Airport,362,8382,DCA
56,0.0216216216216,US-CO,1,Denver International Airport,248,11470,DEN
57,0.0427544995376,US-TX,1,Dallas Fort Worth International Airport,1202,28114,DFW
58,0.112359550562,US-MN,1,Duluth International Airport,20,178,DLH
59,0.0645161290323,US-CO,1,Durango La Plata County Airport,2,31,DRO
60,0.0609756097561,US-IA,1,Des Moines International Airport,45,738,DSM
61,0.0304733259459,US-MI,1,Detroit Metropolitan Wayne County Airport,385,12634,DTW
62,0.266666666667,US-AK,1,Unalaska Airport,16,60,DUT
63,0.00350877192982,US-CO,1,Eagle County Regional Airport,1,285,EGE
64,0.05,US-NY,1,Elmira Corning Regional Airport,6,120,ELM
65,0.0156494522692,US-TX,1,El Paso International Airport,30,1917,ELP
66,0.0645161290323,US-PA,1,Erie International Tom Ridge Field,8,124,ERI
67,0.0594594594595,US-OR,1,Mahlon Sweet Field,11,185,EUG
68,0.0559440559441,US-IN,1,Evansville Regional Airport,8,143,EVV
69,0.0507383566831,US-NJ,1,Newark Liberty International Airport,536,10564,EWR
70,0.0257234726688,US-FL,1,Key West International Airport,8,311,EYW
71,0.0558252427184,US-AK,1,Fairbanks International Airport,23,412,FAI
72,0.0491803278689,US-ND,1,Hector International Airport,9,183,FAR
73,0.0545454545455,US-CA,1,Fresno Yosemite International Airport,15,275,FAT
74,0.10752688172,US-NC,1,Fayetteville Regional Grannis Field,10,93,FAY
75,0.0483870967742,US-MT,1,Glacier Park International Airport,6,124,FCA
76,0.0172449615624,US-FL,1,Fort Lauderdale Hollywood International Airport,83,4813,FLL
77,0.0254237288136,US-MI,1,Bishop International Airport,3,118,FNT
78,0.0294117647059,US-SD,1,Joe Foss Field Airport,8,272,FSD
79,0.0581818181818,US-AR,1,Fort Smith Regional Airport,16,275,FSM
80,0.115789473684,US-IN,1,Fort Wayne International Airport,33,285,FWA
81,0.0285969615728,US-WA,1,Spokane International Airport,32,1119,GEG
82,0.0232558139535,US-ND,1,Grand Forks International Airport,2,86,GFK
83,0.0322580645161,US-TX,1,East Texas Regional Airport,5,155,GGG
84,0.0,US-MS,1,Gulfport Biloxi International Airport,0,70,GPT
85,0.0535211267606,US-WI,1,Austin Straubel International Airport,19,355,GRB
86,0.0456475583864,US-MI,1,Gerald R. Ford International Airport,43,942,GRR
87,0.0460164835165,US-NC,1,Piedmont Triad International Airport,67,1456,GSO
88,0.0622754491018,US-SC,1,Greenville Spartanburg International Airport,52,835,GSP
89,0.0268817204301,US-MT,1,Great Falls International Airport,5,186,GTF
90,0.015873015873,US-CO,1,Gunnison Crested Butte Regional Airport,1,63,GUC
91,0.0359281437126,US-CO,1,Yampa Valley Airport,6,167,HDN
92,0.0806451612903,US-MT,1,Helena Regional Airport,5,62,HLN
93,0.0137106184364,US-HI,1,Honolulu International Airport,47,3428,HNL
94,0.0247933884298,US-TX,1,William P Hobby Airport,129,5203,HOU
95,0.16199376947,US-NY,1,Westchester County Airport,104,642,HPN
96,0.0310421286031,US-TX,1,Valley International Airport,14,451,HRL
97,0.077057793345,US-AL,1,Huntsville International Carl T Jones Field,44,571,HSV
98,0.0387715094751,US-DC,1,Washington Dulles International Airport,178,4591,IAD
99,0.0099884063141,US-TX,1,George Bush Intercontinental Houston Airport,112,11213,IAH
100,0.0252454417952,US-KS,1,Wichita Mid Continent Airport,18,713,ICT
101,0.116363636364,US-TX,1,Skylark Field,32,275,ILE
